"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","tau","name","fm_use","fm_delta"
"108","I(relative_age^2)",-0.000419457611720782,0.000164658826428791,-2.54743472195329,0.0108522009795744,-0.000742183996603321,-9.67312268382422e-05,0.9,"rq_zstrategy_junior_0.9",NA,NA
"109","(Intercept)",-1.3925604837416,0.00509787012516718,-273.165155162899,0,-1.4025522156121,-1.38256875187111,0.1,"rq_zselfcontrol_junior_0.1",NA,NA
"110","relative_age",0.00612838160297189,0.00212918302786096,2.87827843956122,0.00399915089308656,0.00195522195095052,0.0103015412549933,0.1,"rq_zselfcontrol_junior_0.1",NA,NA
"111","I(relative_age^2)",-0.000360493035469243,0.00018627954545079,-1.93522608505868,0.0529646543106583,-0.000725597525266482,4.6114543279957e-06,0.1,"rq_zselfcontrol_junior_0.1",NA,NA
"112","(Intercept)",0.109058238147521,0.00303051814162157,35.9866640128958,0,0.103118478217141,0.114997998077901,0.5,"rq_zselfcontrol_junior_0.5",NA,NA
"113","relative_age",0.00446762850145279,0.00126573012539306,3.52968489239791,0.000416193910264706,0.00198682068900991,0.00694843631389568,0.5,"rq_zselfcontrol_junior_0.5",NA,NA
"114","I(relative_age^2)",-0.000248201581522102,0.000110737136890698,-2.24135812511648,0.0250045129544452,-0.000465244337173264,-3.11588258709398e-05,0.5,"rq_zselfcontrol_junior_0.5",NA,NA
"115","(Intercept)",1.27259851360403,0.00246592978160915,516.072486368038,0,1.26776533649587,1.27743169071218,0.9,"rq_zselfcontrol_junior_0.9",NA,NA
"116","relative_age",-0.000341987751906941,0.00102992342095552,-0.33205163116852,0.739850790642912,-0.00236061875204285,0.00167664324822897,0.9,"rq_zselfcontrol_junior_0.9",NA,NA
"117","I(relative_age^2)",0.000170993873958921,9.01067048695469e-05,1.89768202273604,0.0577401240473658,-5.61361361623629e-06,0.000347601361534078,0.9,"rq_zselfcontrol_junior_0.9",NA,NA
"118","(Intercept)",-1.41130954357162,0.0163271207784564,-86.4395849532663,0,-1.44331040257304,-1.3793086845702,0.1,"rq_zselfefficacy_junior_0.1",NA,NA
"119","relative_age",0.0170008211778068,0.00681470174684434,2.4947271075626,0.0126066026894374,0.00364413001979024,0.0303575123358234,0.1,"rq_zselfefficacy_junior_0.1",NA,NA
"120","I(relative_age^2)",-0.000169845733858004,0.000596422537706145,-0.284774171196203,0.775817603624482,-0.00133882303202228,0.000999131564306273,0.1,"rq_zselfefficacy_junior_0.1",NA,NA
"121","(Intercept)",-0.0254682445348361,0.00369060947153728,-6.90082349033469,5.19317921998663e-12,-0.0327017718009415,-0.0182347172687308,0.5,"rq_zselfefficacy_junior_0.5",NA,NA
"122","relative_age",-0.00819007823595309,0.0015404064901505,-5.3168292189894,1.05760339597083e-07,-0.0112092468674008,-0.00517090960450536,0.5,"rq_zselfefficacy_junior_0.5",NA,NA
"123","I(relative_age^2)",0.00193790036102151,0.000134816340037187,14.3743730210075,0,0.00167366279291889,0.00220213792912414,0.5,"rq_zselfefficacy_junior_0.5",NA,NA
"124","(Intercept)",1.21273854144762,0.00566792963512624,213.96499595405,0,1.20162950271723,1.22384758017801,0.9,"rq_zselfefficacy_junior_0.9",NA,NA
"125","relative_age",0.0304778344961653,0.00236571104664403,12.8831602403011,0,0.025841083983384,0.0351145850089467,0.9,"rq_zselfefficacy_junior_0.9",NA,NA
"126","I(relative_age^2)",-0.0016932130275739,0.000207046975544053,-8.17791722445926,4.44089209850063e-16,-0.0020990213241474,-0.00128740473100041,0.9,"rq_zselfefficacy_junior_0.9",NA,NA
